idx,sentence,label,p_pos,pred,B_confidence,y_correct
0,it 's a charming and often affecting journey . ,1,0.9998838901519775,1,0.9998838901519775,1
1,unflinchingly bleak and desperate ,0,0.0010304938768967986,0,0.9989695061231032,1
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,0.9996399879455566,1,0.9996399879455566,1
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,0.9996993541717529,1,0.9996993541717529,1
4,"it 's slow -- very , very slow . ",0,0.0003108116507064551,0,0.9996891883492935,1
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,0.9998290538787842,1,0.9998290538787842,1
6,a sometimes tedious film . ,0,0.0004954670439474285,0,0.9995045329560526,1
7,or doing last year 's taxes with your ex-wife . ,0,0.008240383118391037,0,0.991759616881609,1
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,0.9926711320877075,1,0.9926711320877075,1
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0.0007492153672501445,0,0.9992507846327499,1
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,0.9998838901519775,1,0.9998838901519775,1
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0.00032601217390038073,0,0.9996739878260996,1
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0.00018437941616866738,0,0.9998156205838313,1
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,0.9570931792259216,1,0.9570931792259216,1
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0.000228486635023728,0,0.9997715133649763,1
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,0.9998869895935059,1,0.9998869895935059,1
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,0.9994854927062988,1,0.9994854927062988,1
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,0.999798595905304,1,0.999798595905304,1
18,... the movie is just a plain old monster . ,0,0.0007183459820225835,0,0.9992816540179774,1
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0.00041350824176333845,0,0.9995864917582367,1
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0.02265625260770321,0,0.9773437473922968,1
21,the iditarod lasts for days - this just felt like it did . ,0,0.04481356218457222,0,0.9551864378154278,1
22,holden caulfield did it better . ,0,0.9907523393630981,1,0.9907523393630981,0
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,0.9998834133148193,1,0.9998834133148193,1
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,0.9965078234672546,1,0.9965078234672546,1
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0.00035233513335697353,0,0.999647664866643,1
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0.0019384375773370266,0,0.998061562422663,1
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,0.9996742010116577,1,0.9996742010116577,1
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0.008490588515996933,0,0.9915094114840031,1
29,i had to look away - this was god awful . ,0,0.002993960166350007,0,0.99700603983365,1
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,0.9998767375946045,1,0.9998767375946045,1
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0.003378794062882662,0,0.9966212059371173,1
32,"a gorgeous , witty , seductive movie . ",1,0.9998878240585327,1,0.9998878240585327,1
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0.0513823926448822,0,0.9486176073551178,1
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0.0001843905047280714,0,0.9998156094952719,1
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,0.0002833239268511534,0,0.9997166760731488,1
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,0.9991298317909241,1,0.9991298317909241,1
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0.012954774312675,0,0.987045225687325,1
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,0.9991269707679749,1,0.9991269707679749,1
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,0.9997716546058655,1,0.9997716546058655,1
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,0.9998881816864014,1,0.9998881816864014,1
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,0.9996800422668457,1,0.9996800422668457,1
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,0.9997768998146057,1,0.9997768998146057,1
43,holm ... embodies the character with an effortlessly regal charisma . ,1,0.9998315572738647,1,0.9998315572738647,1
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,0.004431378562003374,0,0.9955686214379966,1
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,0.0027292142622172832,0,0.9972707857377827,1
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,0.03990232199430466,0,0.9600976780056953,1
47,a subtle and well-crafted ( for the most part ) chiller . ,1,0.9998636245727539,1,0.9998636245727539,1
48,has a lot of the virtues of eastwood at his best . ,1,0.9998326301574707,1,0.9998326301574707,1
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0.0002226938959211111,0,0.9997773061040789,1
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,0.00079204241046682,0,0.9992079575895332,1
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,0.9998251795768738,1,0.9998251795768738,1
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,0.9986221790313721,1,0.9986221790313721,1
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,0.9997410178184509,1,0.9997410178184509,1
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0.0008983342559076846,0,0.9991016657440923,1
55,"a tender , heartfelt family drama . ",1,0.9998681545257568,1,0.9998681545257568,1
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0.0003314261557534337,0,0.9996685738442466,1
57,the cold turkey would 've been a far better title . ,0,0.0026651830412447453,0,0.9973348169587553,1
58,manages to be both repulsively sadistic and mundane . ,0,0.0018796354997903109,0,0.9981203645002097,1
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0.12567341327667236,0,0.8743265867233276,1
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,0.9998378753662109,1,0.9998378753662109,1
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,0.00032279203878715634,0,0.9996772079612128,1
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,0.9894513487815857,1,0.9894513487815857,1
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,0.9997650980949402,1,0.9997650980949402,1
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,0.8576422333717346,1,0.8576422333717346,0
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,0.0017758547328412533,0,0.9982241452671587,1
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,0.831665575504303,1,0.831665575504303,1
67,"a fast , funny , highly enjoyable movie . ",1,0.9998911619186401,1,0.9998911619186401,1
68,good old-fashioned slash-and-hack is back ! ,1,0.9981695413589478,1,0.9981695413589478,1
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,0.1383768618106842,0,0.8616231381893158,1
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,0.0041599879041314125,0,0.9958400120958686,1
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,0.9998536109924316,1,0.9998536109924316,1
72,uses high comedy to evoke surprising poignance . ,1,0.9996333122253418,1,0.9996333122253418,1
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,0.9746877551078796,1,0.9746877551078796,1
74,a string of rehashed sight gags based in insipid vulgarity . ,0,0.0004883707733824849,0,0.9995116292266175,1
75,among the year 's most intriguing explorations of alientation . ,1,0.9998138546943665,1,0.9998138546943665,1
76,the movie fails to live up to the sum of its parts . ,0,0.00024408196622971445,0,0.9997559180337703,1
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,1,0.9998049139976501,1,0.9998049139976501,1
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,0.9998239874839783,1,0.9998239874839783,1
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,0.0003720959648489952,0,0.999627904035151,1
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,0.9998527765274048,1,0.9998527765274048,1
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,0.00035731011303141713,0,0.9996426898869686,1
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,0.07848943769931793,0,0.9215105623006821,1
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,0.9030231237411499,1,0.9030231237411499,1
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,0.9997909665107727,1,0.9997909665107727,1
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,0.9995244741439819,1,0.9995244741439819,1
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,0.0003364604199305177,0,0.9996635395800695,1
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,0.003908131737262011,0,0.996091868262738,0
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,0.9980431795120239,1,0.9980431795120239,1
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,0.9974119067192078,1,0.9974119067192078,1
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,0.9997256398200989,1,0.9997256398200989,1
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,0.9998171925544739,1,0.9998171925544739,1
92,"you wo n't like roger , but you will quickly recognize him . ",0,0.9985194802284241,1,0.9985194802284241,0
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,0.000608071917667985,0,0.999391928082332,0
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,0.9997764229774475,1,0.9997764229774475,1
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,0.9993116855621338,1,0.9993116855621338,0
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0.0024211604613810778,0,0.9975788395386189,1
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,0.9947522878646851,1,0.9947522878646851,1
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0.00018284386896993965,0,0.9998171561310301,1
99,why make a documentary about these marginal historical figures ? ,0,0.002522027585655451,0,0.9974779724143445,1
